id,media,leaning,date,title,short_opening,URL
R164,FoxNews,right,2025-02-24,"Zelenskyy names his terms for giving up power as US, Ukraine lock in on mineral deal",Zelenskyy demands guarantees as Washington pressures him.,
R165,FoxNews,right,2025-07-17,Ukraine's Zelenskyy names new prime minister,Zelenskyy appoints new PM amid ongoing war.,
R166,FoxNews,right,2025-02-07,Trump plans to meet with Zelenskyy as he looks to end Ukraine war,Trump says Zelenskyy may visit DC soon.,
R167,FoxNews,right,2025-02-27,Trump says 'I can't believe I said that' when asked if he still thinks Zelenskyy is a dictator,Trump dodges Zelenskyy dictator remark during meeting with Starmer.,
R168,FoxNews,right,2025-02-28,"Trump, Vance and Zelenskyy spar over Russian war in tense exchange: 'Very disrespectful'","President Donald Trump, Vice President JD Vance and Ukraine President Volodymyr Zelenskyy sparred during a meeting at the White House to end the Russia-Ukraine War.",
R169,FoxNews,right,2025-02-28,Here's the real reason Trump and Zelenskyy's deal blew up in the Oval Office,Trump__elenskyy meeting exploded over lack of security guarantees.,
R170,FoxNews,right,2025-08-07,Zelenskyy tells Putin to 'be brave' and finally agree to trilateral meeting with Trump,Zelenskyy pushes Putin for three-way peace meeting.,
R171,FoxNews,right,2025-10-22,Trump meets NATO__ Rutte amid canceled Putin meeting: 'It didn't feel right to me',Trump meets NATO chief after Zelenskyy White House visit.,
R172,FoxNews,right,2025-08-17,Ukrainian designer predicts Zelenskyy will wear military suit for high-stakes Trump meeting,Designer says Zelenskyy will likely choose military-style clothing for DC meeting.,
R173,FoxNews,right,2025-02-25,Trump says minerals deal has been 'pretty much' negotiated with Zelenskyy,Mineral deal nearly finalized between U.S. and Ukraine.,
R174,FoxNews,right,2025-03-04,Fox News' Zelenskyy interview watched by 6.4 million viewers,Baier interview with Zelenskyy surpasses major networks.,
R175,FoxNews,right,2025-09-24,"Zelenskyy at UN: __eak_ global bodies can__ stop Putin, only __riends and weapons_ can",Zelenskyy warns UN that Putin plans wider war.,
R176,FoxNews,right,2022-03-17,"Volodymyr Zelenskyy, 'the Churchill of our time': Reporter's Notebook",Zelenskyy portrayed as modern Churchill amid plea for weapons.,
R177,FoxNews,right,2025-09-07,Zelenskyy accuses Trump of giving Putin 'what he wanted' at Alaska summit,Zelenskyy criticizes Trump__utin summit outcome.,
R178,FoxNews,right,2024-09-23,Zelenskyy warns Vance__ plan to give Russia seized land will lead to __lobal showdown_,Zelenskyy says Vance's proposal would trigger global war.,
R179,FoxNews,right,2025-08-17,"European leaders will join Trump-Zelenskyy meeting, signaling solidarity with Ukraine",European leaders including France's Macron and UK's Starmer join Zelenskyy for crucial Washington meeting with Trump.,
R180,FoxNews,right,2025-03-01,Zelenskyy meets with British Prime Minister Keir Starmer in London following Trump Oval Office clash,Zelenskyy meets with UK PM after tense US meeting.,
R181,FoxNews,right,2025-02-19,Trump calls Ukraine's Zelenskyy a 'dictator without elections',Trump slams Zelenskyy after Saudi peace talks.,
R182,FoxNews,right,2025-08-07,Zelenskyy tells Putin to 'be brave' and finally agree to trilateral meeting,Zelenskyy challenges Putin to join peace talks.,
R183,FoxNews,right,2022-08-12,Ukrainian President Zelenskyy will soon have his own action figure,"Action figure of Zelenskyy raises $139,000 in crowdfunding.",
R184,FoxNews,right,2025-09-16,Trump and Zelenskyy to meet as Poland pressures NATO on no fly zone over Ukraine,Possible Zelenskyy__rump meeting during UN summit.,
R185,FoxNews,right,2025-08-15,Key takeaways from Trump-Putin summit as meeting with Zelenskyy might be next,Zelenskyy likely next in diplomatic sequence after Alaska summit.,
R186,FoxNews,right,2025-02-28,"World leaders back Zelenskyy following Trump, Vance Oval Office spat",Global leaders reaffirm support for Zelenskyy.,
R187,FoxNews,right,2025-08-18,Russian drone strikes kill 7 in Kharkiv during Zelenskyy's White House meeting with Trump,Deadly drone attacks strike Kharkiv during Zelenskyy's DC visit.,
R188,FoxNews,right,2025-05-18,"Zelenskyy sheds details on meeting with Vance, Rubio in Rome after Russia peace talks stall",Zelenskyy discusses stalled Russia peace talks in Rome.,
R189,FoxNews,right,2025-08-18,Trump moves to broker Putin-Zelenskyy meeting following DC peace talks,Trump announces plans for trilateral meeting.,
R190,FoxNews,right,2025-08-06,Trump open to meet Putin face-to-face next week followed by three-way talks with Zelenskyy,Trump schedules meetings with Putin and Zelenskyy.,
R191,FoxNews,right,2025-09-25,Zelenskyy tells Kremlin leaders they should 'know where the bomb shelters are',Zelenskyy warns Moscow officials amid escalation.,
R192,FoxNews,right,2022-05-06,Ukrainian President Zelenskyy to join virtual G7 summit,Zelenskyy set to join Biden and G7 leaders for virtual summit.,
R193,FoxNews,right,2025-02-28,Who could lead Ukraine if Zelenskyy resigns?,Uncertainty looms over Ukrainian leadership if Zelenskyy steps down.,
R194,FoxNews,right,2025-07-06,Zelenskyy touts 'fruitful' Trump call after US president disappointed by Putin talk,Zelenskyy and Trump held a strategic call about air defense and Patriot missiles.,
R195,FoxNews,right,2025-08-18,"5 key moments inside Trump__ __ig day_ with Zelenskyy, European leaders",Zelenskyy__rump meeting highlighted as major diplomatic moment.,
R196,FoxNews,right,2025-08-17,"European leaders will join Trump-Zelenskyy meeting, signaling solidarity with Ukraine",European leaders including France's Macron and UK's Starmer join Zelenskyy for crucial Washington meeting with Trump.,
R197,FoxNews,right,2025-03-02,Trump commerce secretary shreds Zelenskyy's security guarantee requests: 'Just ridiculous',Commerce secretary rejects Zelenskyy's terms for peace deal.,
R198,FoxNews,right,2025-09-03,Putin invites Zelenskyy to a meeting in Moscow,Putin suggests Zelenskyy meet in Moscow amid escalation.,
R199,FoxNews,right,2025-08-19,"Trump reflects on Ukraine peace talks, working toward Putin-Zelenskyy meeting",Trump discusses efforts to arrange peace meeting.,
